,acc,norm_edit_dis,fps,model,dataset,precision,recall,hmean
0,0.7074805221823219,0.8117100007708565,4331.95186288348,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_3,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.6970577546697728,0.8037642967492118,3274.640534849799,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_3,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.7078800645246571,0.8112883912020739,4290.705507617331,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_3,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.6959680343654427,0.8046477394954343,2868.731450317282,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_3,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7079549580988095,0.8110600777053629,4153.972966321051,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_3,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.7032248687512893,0.8081149529685154,2442.6240788689324,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_3,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.7326698507650019,0.8256604507425094,3847.0056012801424,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7277152192315909,0.8261999236236794,2806.2100213727435,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.73655630809499,0.8293088509546368,3952.515945233537,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7297493637996736,0.8225368350903861,2489.363359228758,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_4,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
