precision,recall,hmean,fps,model_path,label_path
0.42261841215615104,0.3895686403149089,0.4054210903628853,86.88849988685988,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_20,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_2/val_label.txt']
0.4438389122292193,0.4,0.4207807019059633,92.4756965046896,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_25,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_2/train_label.txt']
0.4433016105417277,0.3972773495161555,0.4190294957183634,88.32978673233427,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_25,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_2/val_label.txt']
0.4403277861386828,0.4157283068457147,0.4276746033087179,91.6572917946842,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_30,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_2/train_label.txt']
0.4347810943540803,0.4094800721666393,0.4217514696938982,87.94025714329975,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_30,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_2/val_label.txt']
0.4435337443451679,0.35474475312187204,0.3942014450801177,91.81706161752844,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_5,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/train_label.txt']
0.43904532265315294,0.3538770670004612,0.3918872088569501,87.94330791636268,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_5,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/val_label.txt']
0.4440759903314089,0.3647790485879785,0.4005405405405405,92.34581168621462,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_10,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/train_label.txt']
0.4407537142166928,0.3605968772646419,0.3966663647069481,87.15117940940362,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_10,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/val_label.txt']
0.4408978525988277,0.3906483319932393,0.414254827665711,91.73782525478005,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_15,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/train_label.txt']
0.4399119205792342,0.3882666842347981,0.4124790033594625,88.18793699175401,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_15,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/val_label.txt']
0.455376349136271,0.3977453602664872,0.4246142796456146,91.39305425656325,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_20,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/train_label.txt']
0.4551831349055888,0.3954476579484814,0.4232179369667912,87.30859550436138,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_20,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/val_label.txt']
0.4528717860619595,0.389319177565186,0.4186976087531986,92.8879884424392,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_25,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/train_label.txt']
0.4493741575197381,0.3843467949140259,0.4143245210659943,87.43353687004172,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_25,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/val_label.txt']
0.4618780058540625,0.4026435404735728,0.4302314877724836,92.35848403236055,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_30,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/train_label.txt']
0.458153613318199,0.3988734435733579,0.4264633373247869,87.71644271546478,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_30,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_3/val_label.txt']
0.4311701573825637,0.3531934785461225,0.3883058335587412,91.636780790783,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_5,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_4/train_label.txt']
0.4316402328849628,0.3547386483632523,0.3894292597221467,86.49077728582817,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_5,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_4/val_label.txt']
0.4493755423178543,0.3780015745965096,0.4106100086857753,91.187937176646,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_10,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_4/train_label.txt']
0.4485766579695471,0.3801148363252375,0.4115177821838772,87.37399236306463,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_10,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_4/val_label.txt']
0.4515021719979343,0.3656754362944495,0.4040816881369142,92.25026730377449,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_15,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_4/train_label.txt']
0.4466902882911902,0.3660902851108764,0.4023939064200217,87.60415194719921,/home/output/det___MobileNetV3_large_x0_5___ai_hub_det_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_15,['/home/dataset_labels/ai_hub_det_08_02_90_k_fold_5_4/val_label.txt']
